"event_time","coefficient","std_error","ci_lower","ci_upper"
-24,"0.1416","0.0555","0.0328","0.2503"
-23,"0.0593","0.0370","-0.0133","0.1319"
-22,"0.0523","0.0357","-0.0177","0.1224"
-21,"0.0547","0.0350","-0.0140","0.1233"
-20,"0.0530","0.0344","-0.0144","0.1205"
-19,"0.0484","0.0330","-0.0162","0.1130"
-18,"0.0486","0.0330","-0.0161","0.1133"
-17,"0.0438","0.0315","-0.0179","0.1056"
-16,"0.0338","0.0300","-0.0251","0.0927"
-15,"0.0358","0.0289","-0.0209","0.0925"
-14,"0.0313","0.0266","-0.0209","0.0834"
-13,"0.0275","0.0255","-0.0225","0.0775"
-12,"0.0242","0.0250","-0.0248","0.0731"
-11,"0.0220","0.0240","-0.0250","0.0691"
-10,"0.0106","0.0208","-0.0302","0.0514"
-9,"0.0128","0.0195","-0.0254","0.0511"
-8,"0.0164","0.0183","-0.0195","0.0523"
-7,"0.0183","0.0164","-0.0139","0.0505"
-6,"0.0043","0.0147","-0.0245","0.0331"
-5,"0.0023","0.0128","-0.0227","0.0273"
-4,"0.0047","0.0124","-0.0196","0.0290"
-3,"0.0027","0.0111","-0.0192","0.0245"
-2,"0.0100","0.0082","-0.0060","0.0260"
-1,"0.0000","0.0000","0.0000","0.0000"
0,"-0.1041","0.0201","-0.1435","-0.0648"
1,"-0.0709","0.0417","-0.1526","0.0108"
2,"-0.0367","0.0466","-0.1280","0.0546"
3,"-0.0206","0.0484","-0.1156","0.0744"
4,"-0.0225","0.0533","-0.1270","0.0820"
5,"-0.0243","0.0593","-0.1404","0.0919"
6,"-0.0427","0.0610","-0.1623","0.0768"
7,"-0.0254","0.0626","-0.1482","0.0973"
8,"-0.0170","0.0644","-0.1432","0.1093"
9,"-0.0343","0.0675","-0.1666","0.0981"
10,"-0.0429","0.0708","-0.1817","0.0960"
11,"-0.0359","0.0744","-0.1817","0.1098"
12,"-0.0325","0.0766","-0.1825","0.1176"
13,"-0.0473","0.0800","-0.2042","0.1095"
14,"-0.0748","0.0843","-0.2401","0.0905"
15,"-0.1289","0.0884","-0.3022","0.0444"
16,"-0.1429","0.0924","-0.3241","0.0383"
17,"-0.0916","0.0919","-0.2718","0.0886"
18,"-0.0962","0.1000","-0.2922","0.0999"
19,"-0.0097","0.0885","-0.1831","0.1637"
20,"0.0141","0.0911","-0.1645","0.1926"
21,"0.0193","0.0962","-0.1692","0.2078"
22,"-0.0246","0.0992","-0.2190","0.1698"
23,"-0.0352","0.1011","-0.2334","0.1629"
24,"0.0866","0.1160","-0.1408","0.3140"
